<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;60;20171017;100000;57.3672000;57.4090000;57.2680000;57.3423000;2578
USDRUB;60;20171017;110000;57.3384000;57.4358000;57.2038000;57.2611000;23077
USDRUB;60;20171017;120000;57.2664000;57.3680000;57.1969000;57.3526000;15709
USDRUB;60;20171017;130000;57.3549000;57.3562000;57.2263000;57.3421000;14862
USDRUB;60;20171017;140000;57.2925000;57.3737000;57.2617000;57.3543000;14535
USDRUB;60;20171017;150000;57.3668000;57.3974000;57.2673000;57.3568000;14741
USDRUB;60;20171017;160000;57.3508000;57.4282000;57.2806000;57.3860000;21724
USDRUB;60;20171017;170000;57.3499000;57.4637000;57.3254000;57.4590000;18907
USDRUB;60;20171017;180000;57.4590000;57.4767000;57.3272000;57.4544000;21965
USDRUB;60;20171017;190000;57.4515000;57.5440000;57.3789000;57.5365000;20122
USDRUB;60;20171017;200000;57.5347000;57.5442000;57.4100000;57.4575000;9094
USDRUB;60;20171017;210000;57.4730000;57.4760000;57.3326000;57.3844000;8036
USDRUB;60;20171017;220000;57.3826000;57.3990000;57.2568000;57.3163000;9278
USDRUB;60;20171017;230000;57.3154000;57.3377000;57.2255000;57.3268000;7185
USDRUB;60;20171018;000000;57.3110000;57.3405000;57.2524000;57.2723000;5721
USDRUB;60;20171018;010000;57.2658000;57.3476000;57.2410000;57.2775000;357
USDRUB;60;20171018;020000;57.3190000;57.3777000;57.2742000;57.3312000;83
USDRUB;60;20171018;030000;57.3366000;57.3648000;57.2600000;57.2733000;62
USDRUB;60;20171018;040000;57.2899000;57.3240000;57.2561000;57.2815000;42
USDRUB;60;20171018;050000;57.3027000;57.3380000;57.2568000;57.2583000;31
USDRUB;60;20171018;060000;57.3078000;57.3190000;57.2580000;57.2845000;49
USDRUB;60;20171018;070000;57.2935000;57.3077000;57.2395000;57.2580000;97
USDRUB;60;20171018;080000;57.2696000;57.2762000;57.2391000;57.2491000;250
USDRUB;60;20171018;090000;57.2575000;57.3088000;56.8499000;57.2517000;441
USDRUB;60;20171018;100000;57.2314000;57.3375000;57.0341000;57.3264000;1951
USDRUB;60;20171018;110000;57.3239000;57.3399000;57.1197000;57.2547000;22217
USDRUB;60;20171018;120000;57.2998000;57.3274000;57.2088000;57.3054000;16550
USDRUB;60;20171018;130000;57.3156000;57.4004000;57.2553000;57.3657000;16590
USDRUB;60;20171018;140000;57.3580000;57.3935000;57.2386000;57.2818000;13714
USDRUB;60;20171018;150000;57.3178000;57.3611000;57.2455000;57.3529000;14845
USDRUB;60;20171018;160000;57.3069000;57.4555000;57.3002000;57.4038000;23750
USDRUB;60;20171018;170000;57.4009000;57.4160000;57.2955000;57.3938000;20188
USDRUB;60;20171018;180000;57.3930000;57.4090000;57.2733000;57.3509000;22613
USDRUB;60;20171018;190000;57.3629000;57.4993000;57.3120000;57.4658000;19935
USDRUB;60;20171018;200000;57.4787000;57.5021000;57.3686000;57.4424000;11560
USDRUB;60;20171018;210000;57.4448000;57.4809000;57.3891000;57.4640000;6435
USDRUB;60;20171018;220000;57.4623000;57.4646000;57.3641000;57.4160000;8453
USDRUB;60;20171018;230000;57.4160000;57.4286000;57.3342000;57.4260000;6903
USDRUB;60;20171019;000000;57.4268000;57.4930000;57.3840000;57.4390000;3921
USDRUB;60;20171019;010000;57.4430000;57.4700000;57.3627000;57.3896000;439
USDRUB;60;20171019;020000;57.4129000;57.4179000;57.3790000;57.4155000;30
USDRUB;60;20171019;030000;57.3925000;57.4182000;57.3760000;57.4045000;26
USDRUB;60;20171019;040000;57.4170000;57.4205000;57.3790000;57.4045000;27
USDRUB;60;20171019;050000;57.4170000;57.4570000;57.3790000;57.4221000;50
USDRUB;60;20171019;060000;57.4570000;57.4570000;57.3869000;57.4322000;623
USDRUB;60;20171019;070000;57.4550000;57.4600000;57.3960000;57.4251000;28
USDRUB;60;20171019;080000;57.4455000;57.4497000;57.3695000;57.4070000;745
